company_name,website,seed_category,has_public_pricing,pricing_url,has_free_trial,has_freemium,has_api_docs,api_docs_url,has_changelog,changelog_url,has_integrations_page,integrations_url,detected_analytics_tools,detected_product_analytics_tools,technographic_confidence,amplitude_detected,mixpanel_detected,posthog_detected,heap_detected,pendo_detected,segment_detected,ga4_detected,fullstory_detected,hotjar_detected,open_jobs_count,product_jobs_count,analytics_jobs_count,data_jobs_count,growth_jobs_count,ai_jobs_count,customer_success_jobs_count,product_ops_jobs_count,recent_product_launch_90d,most_recent_launch_date,recent_product_launches,recent_ai_announcement,product_led_growth_score,product_maturity_score,hiring_signal_score,ai_readiness_hiring_score,market_event_score,freshness_score,product_analytics_fit_score,global_agent_fit_score,expansion_intelligence_fit_score,overall_amplitude_fit_score_partial
Figma,https://figma.com,design / PLG,True,https://www.figma.com/pricing/,True,,True,https://www.figma.com/developers,True,https://www.figma.com/release-notes/,True,https://www.figma.com/downloads/,,,,,,,,,,,,,162,4,,6,6,15,2,,True,2026-05-20,22,True,67.0,100.0,42.5,60.0,100.0,100.0,56.8,100.0,77.0,74.4
Airtable,https://airtable.com,no-code db / PLG,True,https://airtable.com/pricing,,True,True,https://airtable.com/developers,True,https://airtable.com/whatsnew,True,https://airtable.com/marketplace,"gainsight_px,google_tag_manager",,0.72,,,,,,,,,,21,1,,,,1,1,,,,,,67.0,100.0,1.7,2.0,0.0,100.0,56.8,80.0,0.7,45.7
Calendly,https://calendly.com,scheduling / PLG,True,https://calendly.com/pricing,True,True,True,https://developer.calendly.com,True,https://calendly.com/release-notes,True,https://calendly.com/integration,google_tag_manager,,0.85,,,,,,,,,,23,4,1,1,3,1,2,1,,,,,100.0,100.0,33.9,7.0,0.0,100.0,70.0,83.3,13.6,61.7
Miro,https://miro.com,whiteboard / PLG,True,https://miro.com/pricing/,True,True,True,https://miro.com/capabilities/docs/,True,https://miro.com/whats-new/,True,https://miro.com/apps/,google_tag_manager,,0.85,,,,,,,,,,,,,,,,,,True,2026-05-19,6,True,100.0,100.0,0.0,0.0,51.0,100.0,70.0,80.0,40.4,60.6
ClickUp,https://clickup.com,work-mgmt / PLG,True,https://clickup.com/pricing,,True,True,https://clickup.com/api/,,,True,https://clickup.com/integrations/,ga4,,0.9,,,,,,,True,,,73,3,1,2,3,10,3,,,,,,67.0,67.0,22.9,30.0,0.0,100.0,46.9,73.5,9.2,47.0
Asana,https://asana.com,work-mgmt / PLG,True,https://asana.com/pricing,True,True,True,https://developers.asana.com/docs/,True,https://asana.com/whats-new,True,https://asana.com/apps,optimizely,,0.95,,,,,,,,,,132,4,1,5,2,13,2,,True,2026-05-20,7,True,100.0,100.0,33.3,51.0,54.5,100.0,70.0,96.7,55.1,74.4
Loom,https://loom.com,video / PLG,True,https://loom.com/pricing,True,True,,,,,True,https://www.loom.com/looms/videos?reminderToRecord=true,"amplitude,google_tag_manager",amplitude,0.9,True,,,,,,,,,,,,,,,,,,,,,100.0,33.0,0.0,0.0,0.0,100.0,79.9,33.2,0.0,40.6
Amplitude,https://amplitude.com,analytics / self-detect-control,True,https://amplitude.com/pricing?siteLocation=nav,True,,True,https://developers.amplitude.com/docs?siteLocation=footer,True,https://amplitude.com/releases?siteLocation=nav,True,https://amplitude.com/community,"amplitude,google_tag_manager",amplitude,0.9,True,,,,,,,,,61,1,2,1,,4,1,,True,2026-05-20,15,True,67.0,100.0,12.7,13.0,82.5,100.0,86.8,83.3,58.1,60.0
Mixpanel,https://mixpanel.com,analytics / wow-candidate,True,https://mixpanel.com/pricing/,True,True,True,https://docs.mixpanel.com/,True,https://docs.mixpanel.com/changelogs,True,https://mixpanel.com/partners/integrations,"google_tag_manager,mixpanel,optimizely",mixpanel,0.92,,True,,,,,,,,37,1,,,,3,2,,,,,,100.0,100.0,1.7,6.0,0.0,100.0,100.0,80.0,0.7,55.1
PostHog,https://posthog.com,analytics / wow-candidate,True,https://posthog.com/pricing,True,True,True,https://posthog.com/docs,True,https://posthog.com/changelog,True,https://posthog.com/integrations,posthog,posthog,0.9,,,True,,,,,,,15,,,,,1,1,,,,,,100.0,100.0,0.0,2.0,0.0,100.0,100.0,80.0,0.0,54.3
Pendo,https://pendo.io,analytics / wow-candidate,True,https://pendo.io/pricing,True,True,True,https://developers.pendo.io/,True,https://www.pendo.io/new/,True,https://pendo.io/integrations/,"ga4,gainsight_px,google_tag_manager,pendo",pendo,0.8,,,,,True,,True,,,36,,,,2,4,,,,,,,100.0,100.0,4.6,8.0,0.0,100.0,100.0,80.0,1.8,56.0
Heap,https://heap.io,analytics / wow-candidate,True,https://heap.io/pricing,True,,True,https://heap.io/platform/developer,,,True,https://heap.io/platform/connect,"contentsquare,heap,hotjar",heap,0.89,,,,True,,,,,True,,,,,,,,,,,,,67.0,67.0,0.0,0.0,0.0,100.0,76.9,66.8,0.0,38.5
Hotjar,https://hotjar.com,analytics / PLG,,,True,,,,,,True,https://hotjar.com/integrations,"contentsquare,google_tag_manager,heap,hotjar,optimizely,segment","heap,segment",0.9,,,,True,,True,,,True,,,,,,,,,,,,,33.0,33.0,0.0,0.0,0.0,100.0,53.1,33.2,0.0,22.5
Sentry,https://sentry.io,observability / PLG,True,https://sentry.io/pricing/,True,True,True,https://docs.sentry.io/,True,https://sentry.io/changelog/,True,https://sentry.io/integrations/,,,,,,,,,,,,,39,,1,2,,5,4,,True,2026-05-20,17,True,100.0,100.0,11.0,20.0,89.5,100.0,70.0,86.7,60.2,70.4
Postman,https://postman.com,api-tooling / PLG,True,https://postman.com/pricing/,True,True,True,https://learning.postman.com,True,https://postman.com/new-postman/,True,https://postman.com/product/integrations/,,,,,,,,,,,,,116,2,1,,,5,6,,True,2026-04-16,3,True,100.0,100.0,7.0,10.0,40.5,100.0,70.0,80.0,39.0,62.0
